ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-500792	GPCR ligand binding	10/50	179/7708	1.6305800052142435e-7	1.0866157244725606e-5	1.0076386417414723e-5	CYSLTR2/GPR132/GPR18/HCAR2/ADGRE3/HCAR3/CCRL2/CXCR4/CCL4/CCL20	10
R-HSA-373076	Class A/1 (Rhodopsin-like receptors)	9/50	136/7708	1.7247868642421598e-7	1.0866157244725606e-5	1.0076386417414723e-5	CYSLTR2/GPR132/GPR18/HCAR2/HCAR3/CCRL2/CXCR4/CCL4/CCL20	9
R-HSA-372790	Signaling by GPCR	10/50	365/7708	9.4154935765206e-5	0.003434506885272355	0.003184881071555818	CYSLTR2/GPR132/GPR18/HCAR2/ADGRE3/HCAR3/CCRL2/CXCR4/CCL4/CCL20	10
R-HSA-380108	Chemokine receptors bind chemokines	4/50	39/7708	1.0903196461182079e-4	0.003434506885272355	0.003184881071555818	CCRL2/CXCR4/CCL4/CCL20	4
R-HSA-418594	G alpha (i) signalling events	6/50	161/7708	5.621180300065238e-4	0.014165374356164398	0.013135810806468239	GPR18/HCAR2/HCAR3/CXCR4/CCL4/CCL20	6
R-HSA-388396	GPCR downstream signalling	8/50	331/7708	0.0011759556535939606	0.024695068725473175	0.022900189043671866	CYSLTR2/GPR132/GPR18/HCAR2/HCAR3/CXCR4/CCL4/CCL20	8
R-HSA-375276	Peptide ligand-binding receptors	4/50	78/7708	0.0015703693105957215	0.028266647590722987	0.026212179470094	CCRL2/CXCR4/CCL4/CCL20	4
R-HSA-6783783	Interleukin-10 signaling	3/50	39/7708	0.001991680276398548	0.031368964353277136	0.029089014563189325	IL1B/CCL4/CCL20	3
