sample_id	S061_257	S062_258	S063_259	S064_260	S065_261	S066_265	S067_270	S068_272	S069_273	S070_279	S071_280	S181_255	S182_SHXA10	S183_263	S184_SHXA18	S185_266	S186_SHXA14	S145_nCOV001_C	S147_nCoV001EUHM-Draw-1	S149_nCoV002EUHM-Draw-2	S150_nCoV003EUHM-Draw-1	S151_nCoV004EUHM-Draw-1	S152_nCoV006EUHM-Draw-1	S153_nCoV007EUHM-Draw-1	S154_nCoV0010EUHM-Draw-1	S155_nCOV021EUHM	S156_nCOV024EUHM-Draw-1	S157_nCOV0029EUHM	S175_nCoV024EUHM-Draw-2	S176_nCoV025EUHM-Draw-1	S177_nCoV025EUHM-Draw-2	S178_nCoV028EUHM-Draw-1	S179_nCoV033EUHM-Draw-1	S180_nCoV034EUHM-Draw-1
S061_257	0	54.30272149498121	54.8185506170626	48.74651033711298	55.79149608083341	62.433537297285895	54.13468883237228	51.54917812044591	58.24334910887883	55.682022392164185	57.68753259389475	66.37556049511558	67.02124823560081	64.700395612555	62.80852865590632	71.1305320249345	73.56154970721688	53.78129496961904	79.42094365555519	67.94713950040462	88.06284554741272	86.85643928008525	71.66259260464253	89.21177608039609	96.78444233825532	109.65103890720921	95.38411925814064	91.35012219480176	101.38958218363757	90.33378627544927	83.3568089271131	76.1254616393842	77.90719094639239	91.34784061408168
S062_258	54.30272149498121	0	50.70313058652686	50.891110507948724	56.55245509790037	54.407236206090566	55.623026271777775	52.68686578272098	56.863683638793816	52.869117593290476	58.322609818891166	73.33279676747343	73.15199736963577	72.60175329614088	71.9320370672225	71.94212743719002	79.32011186806794	46.071259510976	77.88961268613946	76.0399438555049	92.9861110387091	93.54366425905515	77.65200854727419	91.77180425793262	99.6463779979715	111.9662556582722	99.69810573509697	97.70510478447622	107.85320373240334	92.79232733197799	85.8078034701364	75.95291584622505	85.50425981218865	100.56551995575923
S063_259	54.8185506170626	50.70313058652686	0	47.69523577388202	51.671424442194116	58.42994179776598	51.52172732634774	51.43058495001755	52.51896026882592	47.55266414438618	53.80643550702826	68.96400077138563	70.86170162911013	65.3546100912352	66.63758851455857	66.63951595962594	69.8969084383909	49.219158215161926	72.88266919674008	79.87171016086381	90.94570638348502	98.0215463309753	73.43845669026994	90.3468828867668	101.96349994538585	115.81964652737418	101.14687375412784	90.45953139149387	111.14623116967451	89.6849613495395	82.20581509329764	69.94764153208712	83.6036253289023	96.76086874835309
S064_260	48.74651033711298	50.891110507948724	47.69523577388202	0	52.863281394799834	66.19115270554624	43.30125900921283	46.30376001983463	49.46445575870165	51.32928000530533	58.51071809361715	68.12763781446922	65.41961573711718	63.02453835885675	62.46211428403134	67.12395897634373	67.88006440411	52.87291603745545	71.6831367251374	74.940865575821	88.90373370555757	96.12977770658786	70.4954166624421	83.85911280098729	105.84230623101789	116.44326480791264	102.1023092694892	86.5534221737434	107.7740350668485	92.30766654554546	80.97021680207726	68.16001783585627	78.02357938664676	87.9099405014932
S065_261	55.79149608083341	56.55245509790037	51.671424442194116	52.863281394799834	0	59.0740302031359	50.7153211070506	48.85800490462696	52.3272729803474	55.65190772048702	57.83150641795854	68.59336253825359	71.63136201807701	65.66234685669241	67.29089129421793	67.80032168137672	69.30444312581518	54.846698963965046	66.58547987213356	72.2997524673891	80.18232096809287	86.85482638945494	65.52703027221332	81.24865954478297	88.68542307755318	108.01236259224919	86.9487158888619	80.83708128353095	100.33270797336068	80.91450545573755	73.59309163039634	61.86019847608335	81.51592906675052	89.78072880164349
S066_265	62.433537297285895	54.407236206090566	58.42994179776598	66.19115270554624	59.0740302031359	0	69.73005752572988	58.83295714844375	67.91626346547926	57.1743615689096	63.35479139002513	76.30200335055731	82.35573274940977	79.26474090430446	79.45975701637757	77.20214939738898	83.70259435079204	47.064716770529046	87.89025176763502	77.12163128531967	94.99330405217249	89.52160488313746	82.98994760189572	102.73076123737935	85.44673238764712	109.12974966354325	91.8131543639307	102.78637674844379	100.17149496141367	87.75358622841512	87.87399975286516	81.24254374712825	92.3685267267697	111.11042348376127
S067_270	54.13468883237228	55.623026271777775	51.52172732634774	43.30125900921283	50.7153211070506	69.73005752572988	0	48.09340678963669	50.51012212980641	58.82362865688488	59.311686265042745	73.1995614955976	68.6400231399046	69.53785827557682	66.22117594991913	71.73334896519565	70.8795234281584	57.68126465252309	67.07887118804607	73.52512915197876	85.1451823064592	93.36303255804866	67.54074615318403	76.6042627256523	100.96602502433315	112.94119889887288	97.6148578432676	79.45836563029339	103.92133321014892	88.4821011303211	75.8983994600522	63.395700870567396	74.89180417424947	86.2146296057766
S068_272	51.54917812044591	52.68686578272098	51.43058495001755	46.30376001983463	48.85800490462696	58.83295714844375	48.09340678963669	0	43.44496384752685	56.24818501272616	61.94396889678965	72.19541063376643	69.95946612421746	67.58542741051012	67.75903565467135	72.0690760066214	72.43731365955992	52.41533087284562	75.90054281011624	78.3112888912323	93.34366957881055	98.93876093479093	75.65709520116074	90.50606925988586	102.93320923426982	121.10325514402913	101.83407312814775	92.7194926727111	108.9539712472605	96.02480781221628	85.72779535677627	71.86953030446358	84.75126070617051	97.65391533842399
S069_273	58.24334910887883	56.863683638793816	52.51896026882592	49.46445575870165	52.3272729803474	67.91626346547926	50.51012212980641	43.44496384752685	0	61.59948836448713	65.38057405045056	76.50678740734028	73.84149405225993	69.08418567263456	70.33996405996365	77.86760861152527	75.40264275798576	59.051721360011356	78.24730296673754	86.57794292417671	97.8270893145562	103.7125131916062	80.83371664799476	93.69785759657302	107.89888419899684	123.89433184504509	107.48199571794095	94.51742838454699	115.70089338988777	99.34161459381168	89.10931299710944	73.17994850531873	88.57290262055457	98.96763024310731
S070_279	55.682022392164185	52.869117593290476	47.55266414438618	51.32928000530533	55.65190772048702	57.1743615689096	58.82362865688488	56.24818501272616	61.59948836448713	0	52.54759708336263	69.52672789986822	73.1173630718574	67.85399433376088	68.8838850812697	63.881678864198136	73.92204876487092	50.75039229275371	72.91716816292877	77.8832090677134	89.03969691934478	96.06352144236845	72.84934505263578	90.83857783199183	100.88543120177813	116.63987950954478	102.04682640165933	95.59420269445967	113.77660038693719	90.67178167586866	85.18864199160569	75.4591840861048	87.77312372464414	98.21725221932817
