ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:1903039	positive regulation of leukocyte cell-cell adhesion	7/77	233/11812	7.90447242557134e-4	0.030414254128391542	0.024866940764656252	KLRC4-KLRK1/IL23R/IL23A/CD209/IL1B/CD83/HES1	7
GO:0040013	negative regulation of locomotion	7/77	236/11812	8.521678246273108e-4	0.03140236271836026	0.025674826359090845	KLRC4-KLRK1/SEMA4C/CD200R1/GPR18/NOG/EPPK1/TNFAIP6	7
GO:1903037	regulation of leukocyte cell-cell adhesion	8/77	309/11812	8.794191640854189e-4	0.03140236271836026	0.025674826359090845	KLRC4-KLRK1/IL23R/IL23A/CD209/IL1B/CD83/HES1/NRARP	8
GO:0032729	positive regulation of type II interferon production	4/77	67/11812	9.37497666927218e-4	0.03140236271836026	0.025674826359090845	KLRC4-KLRK1/IL23R/IL23A/IL1B	4
GO:0071347	cellular response to interleukin-1	4/77	67/11812	9.37497666927218e-4	0.03140236271836026	0.025674826359090845	IL1B/CCL4/HES1/CCL20	4
GO:0050671	positive regulation of lymphocyte proliferation	5/77	116/11812	9.42630276042868e-4	0.03140236271836026	0.025674826359090845	IL23R/IL23A/CD209/IL1B/HES1	5
GO:0046427	positive regulation of receptor signaling pathway via JAK-STAT	3/77	30/11812	9.527358010513916e-4	0.03140236271836026	0.025674826359090845	IL23R/IL23A/HES1	3
GO:0010721	negative regulation of cell development	6/77	176/11812	9.93105424328245e-4	0.03140236271836026	0.025674826359090845	SEMA4C/NOG/IL1B/HES1/TNFAIP6/NRARP	6
GO:0042742	defense response to bacterium	6/77	176/11812	9.93105424328245e-4	0.03140236271836026	0.025674826359090845	KLRC4-KLRK1/ADAMTS5/IL23R/IL23A/IL1B/CCL20	6
GO:0050863	regulation of T cell activation	8/77	316/11812	0.0010164355354813914	0.03140236271836026	0.025674826359090845	KLRC4-KLRK1/IL23R/IL23A/CD209/IL1B/CD83/HES1/NRARP	8
