gene_id	limma_logFC	limma_AveExpr	limma_t	limma_pvalue	limma_padj	limma_B	ensembl_gene_id	limma_significant
ENSG00000152952	2.1575053311474828	0.14252840732940555	5.292108176236987	6.369822218573466e-6	1.0510206660646219e-4	3.8454312564913664	ENSG00000152952	upregulated
ENSG00000238000	1.3574569564957524	1.1710069024640724	5.282702949929239	6.4534552977160716e-6	1.0614325733571184e-4	3.7911406775585057	ENSG00000238000	upregulated
ENSG00000153162	1.649190655422489	3.1039601056015864	5.291364130424427	6.507250131885958e-6	1.0689949779301336e-4	3.599044897220134	ENSG00000153162	upregulated
ENSG00000196793	-1.1745552625235942	0.2636846950247989	-5.279345522860894	6.520111212907199e-6	1.0689949779301336e-4	3.8195774455172797	ENSG00000196793	downregulated
ENSG00000211649	3.1501930803035867	2.923384743549528	5.298712863953078	6.553812321876053e-6	1.0722534716487087e-4	3.6521444106674217	ENSG00000211649	upregulated
ENSG00000183484	-1.0718530869203589	5.704258035112515	-5.284895702110369	6.636626529823412e-6	1.0812403096382471e-4	3.25982747383574	ENSG00000183484	downregulated
ENSG00000196141	1.231710968851873	3.5431818315815833	5.280021991794337	6.663186160351592e-6	1.0844283037466233e-4	3.5063928700579243	ENSG00000196141	upregulated
ENSG00000137198	2.137159143195317	4.029926395107283	5.2915989437314295	6.696573493476068e-6	1.0887196528701659e-4	3.461035120115417	ENSG00000137198	upregulated
ENSG00000174307	1.8874921586251379	0.23365123001629412	5.254929604879676	7.030752528782109e-6	1.1311926527117274e-4	3.749406126699986	ENSG00000174307	upregulated
ENSG00000211638	3.4400528918525604	3.172301194972748	5.255427379878847	7.471839612684743e-6	1.178924032479556e-4	3.507338693594983	ENSG00000211638	upregulated
ENSG00000088340	2.69330121002678	-0.516087342742906	5.241753214677256	7.498907368673285e-6	1.1819924114646612e-4	3.690653430505753	ENSG00000088340	upregulated
ENSG00000132170	2.439001572111234	0.2680039308290971	5.214059845368044	8.17680582782683e-6	1.2682225838959413e-4	3.610796333160584	ENSG00000132170	upregulated
ENSG00000241743	1.9822353620873672	0.8334981358022384	5.20337734032283	8.397260713475237e-6	1.2920785085912792e-4	3.5641896439497955	ENSG00000241743	upregulated
ENSG00000166341	-1.2455644547087432	2.377643797496264	-5.193751235222768	8.471506932632328e-6	1.2996347430774225e-4	3.428419557516815	ENSG00000166341	downregulated
