ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0045839	negative regulation of mitotic nuclear division	50	0.8847149133025234	2.1940443838458688	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=40%, list=2%, signal=39%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/1111/4085/54998/26271
GO:0033047	regulation of mitotic sister chromatid segregation	51	0.8803677532489218	2.1928718943369594	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=37%, list=2%, signal=37%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/983/57082/10403/4085/26271
GO:0007091	metaphase/anaphase transition of mitotic cell cycle	89	0.8155557504233111	2.19103384814508	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=26%, list=2%, signal=25%	5347/11065/9212/991/332/699/9700/11130/9787/701/990/9319/147841/891/83540/1063/55143/7272/57082/1062/10403/4085/26271
GO:0051983	regulation of chromosome segregation	120	0.7956585355679179	2.184870580144302	1e-10	7.49718309859155e-9	6.628613787991105e-9	635	tags=27%, list=5%, signal=26%	5347/11065/9212/991/4288/332/699/9700/11130/157313/9787/64151/701/11004/990/9319/23397/147841/891/83540/1063/55143/7272/983/57082/1062/10403/4085/26271/116028/51529/10459
GO:0031577	spindle checkpoint signaling	44	0.8890560655831181	2.1812914366556755	1e-10	7.49718309859155e-9	6.628613787991105e-9	275	tags=39%, list=2%, signal=38%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085
GO:0007094	mitotic spindle assembly checkpoint signaling	43	0.8910690203571795	2.170874607976024	1e-10	7.49718309859155e-9	6.628613787991105e-9	275	tags=40%, list=2%, signal=39%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085
GO:0071173	spindle assembly checkpoint signaling	43	0.8910690203571795	2.170874607976024	1e-10	7.49718309859155e-9	6.628613787991105e-9	275	tags=40%, list=2%, signal=39%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085
GO:0071174	mitotic spindle checkpoint signaling	43	0.8910690203571795	2.170874607976024	1e-10	7.49718309859155e-9	6.628613787991105e-9	275	tags=40%, list=2%, signal=39%	5347/9212/991/332/699/11130/701/9319/147841/891/83540/1063/55143/7272/57082/10403/4085
GO:2001251	negative regulation of chromosome organization	87	0.8074213565260461	2.1672773869175774	1e-10	7.49718309859155e-9	6.628613787991105e-9	313	tags=24%, list=2%, signal=24%	5347/9212/991/332/699/9700/7153/11130/701/9319/147841/891/83540/1063/55143/7272/57082/80119/10403/4085/26271
GO:0002377	immunoglobulin production	147	0.7762791652833088	2.1634878106304205	1e-10	7.49718309859155e-9	6.628613787991105e-9	1167	tags=37%, list=8%, signal=34%	51237/28913/10721/28773/28815/28793/28908/28937/28813/9156/28299/28876/28791/28784/28907/28825/28816/28775/28820/28940/28778/28822/28803/28938/28781/28919/28799/28923/28823/28783/28942/28874/28935/28797/28796/28943/28882/28785/28804/28912/28817/28904/10459/28774/28826/28776/28941/28814/28902/2821/79915/2048/11331/28920
