ensembl_gene_id	gene_symbol	entrez_id	gene_name	gene_label
ENSG00000174059	CD34	947	CD34 molecule	CD34
ENSG00000174080	CTSF	8722	cathepsin F	CTSF
ENSG00000174099	MSRB3	253827	methionine sulfoxide reductase B3	MSRB3
ENSG00000174106	LEMD3	23592	LEM domain containing 3	LEMD3
ENSG00000174109	UQCC4	283951	ubiquinol-cytochrome c reductase complex assembly factor 4	UQCC4
ENSG00000174123	TLR10	81793	toll like receptor 10	TLR10
ENSG00000174125	TLR1	7096	toll like receptor 1	TLR1
ENSG00000174130	TLR6	10333	toll like receptor 6	TLR6
ENSG00000174132	FAM174A	345757	family with sequence similarity 174 member A	FAM174A
ENSG00000174136	RGMB	285704	repulsive guidance molecule BMP co-receptor b	RGMB
ENSG00000174137	FAM53A	152877	family with sequence similarity 53 member A	FAM53A
ENSG00000174151	CYB561D1	284613	cytochrome b561 family member D1	CYB561D1
ENSG00000174165	ZDHHC24	254359	zinc finger DHHC-type containing 24	ZDHHC24
ENSG00000174171	LOC105370792	105370792	uncharacterized LOC105370792	LOC105370792
ENSG00000174173	TRMT10C	54931	tRNA methyltransferase 10C, mitochondrial RNase P subunit	TRMT10C
ENSG00000174175	SELP	6403	selectin P	SELP
ENSG00000174177	CTU2	348180	cytosolic thiouridylase subunit 2	CTU2
ENSG00000174197	MGA	23269	MAX dimerization protein MGA	MGA
ENSG00000174206	KICS2	144577	KICSTOR subunit 2	KICS2
ENSG00000174227	PIGG	54872	phosphatidylinositol glycan anchor biosynthesis class G	PIGG
ENSG00000174231	PRPF8	10594	pre-mRNA processing factor 8	PRPF8
ENSG00000174233	ADCY6	112	adenylate cyclase 6	ADCY6
ENSG00000174238	PITPNA	5306	phosphatidylinositol transfer protein alpha	PITPNA
ENSG00000174243	DDX23	9416	DEAD-box helicase 23	DDX23
ENSG00000174255	ZNF80	7634	zinc finger protein 80	ZNF80
ENSG00000174276	ZNHIT2	741	zinc finger HIT-type containing 2	ZNHIT2
ENSG00000174282	ZBTB4	57659	zinc finger and BTB domain containing 4	ZBTB4
ENSG00000174292	TNK1	8711	tyrosine kinase non receptor 1	TNK1
ENSG00000174306	ZHX3	23051	zinc fingers and homeoboxes 3	ZHX3
ENSG00000174307	PHLDA3	23612	pleckstrin homology like domain family A member 3	PHLDA3
ENSG00000174326	SLC16A11	162515	solute carrier family 16 member 11	SLC16A11
ENSG00000174327	SLC16A13	201232	solute carrier family 16 member 13	SLC16A13
