gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000110514	ENSG00000110514	MADD	8567	MAP kinase activating death domain	-0.12310471183799106	0.15529331600910365	not_significant	-0.15259607279323006	7.1808018250877215	0.04542078845112382	0.10091339763313716	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000155876	ENSG00000155876	RRAGA	10670	Ras related GTP binding A	0.19548778929573304	0.15553818257649435	not_significant	0.18658815459801747	6.012698989679002	0.13470318526743552	0.23540804546455493	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000127663	ENSG00000127663	KDM4B	23030	lysine demethylase 4B	-0.16241965311893608	0.15557644176966148	not_significant	-0.20709432868788458	6.702307042674297	0.0426049016726587	0.09615861829786619	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000163617	ENSG00000163617	CCDC191	57577	coiled-coil domain containing 191	-0.2692909890948202	0.15560705926893606	not_significant	-0.3842031342152388	2.5416472102151673	0.03823442827324734	0.08870844914256788	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000259456	ENSG00000259456	ADNP-AS1	101927631	ADNP antisense RNA 1	0.2771038025360307	0.1556292532525763	not_significant	0.3065640113964806	-0.35501198881601886	0.10829422153015623	0.19875084320586003	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000101400	ENSG00000101400	SNTA1	6640	syntrophin alpha 1	-0.21616643846184047	0.1556385680761305	not_significant	-0.3082574598837753	2.9483748073196803	0.03922435747612911	0.09028937139429541	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000254017	ENSG00000254017	IGHEP2	3499	immunoglobulin heavy constant epsilon P2 (pseudogene)	0.25982830237662896	0.15566152163190103	not_significant	0.24076694298506496	3.2791182374247936	0.18441340470246584	0.29947145921215007	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000137814	ENSG00000137814	HAUS2	55142	HAUS augmin like complex subunit 2	0.15760209527041358	0.1558599629768179	not_significant	0.1865224517503532	3.477361610277424	0.05804243190426494	0.12261483503611405	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000112309	ENSG00000112309	B3GAT2	135152	beta-1,3-glucuronyltransferase 2	-0.26441373423605036	0.15589404103371957	not_significant	-0.33560465582496835	1.1652197240833975	0.09105487676806798	0.17373047178773585	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000196295	ENSG00000196295	ENSG00000196295	NA	NA	-0.19618487658277955	0.15593395565223453	not_significant	-0.2922004852704658	4.984585245902693	0.028991346872837866	0.07149877404956516	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
ENSG00000130518	ENSG00000130518	IQCN	80726	IQ motif containing N	0.31102378674033343	0.15593395565223453	not_significant	0.2483088308046164	1.8744444984439592	0.29175448197622716	0.4218432008437851	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both
