entrez_id	gene_symbol	gene_name	log2FoldChange	pvalue	padj	rank_metric
7083	TK1	thymidine kinase 1	3.1122522944589215	1.1381711291240359e-53	1.7653034212713795e-49	52.94379243491215
6241	RRM2	ribonucleotide reductase regulatory subunit M2	3.713343043955423	2.775710382681556e-50	2.1525634017695462e-46	49.55662585009216
5347	PLK1	polo like kinase 1	3.772785220470218	5.052564903968254e-50	2.612176055351587e-46	49.296488098939975
11065	UBE2C	ubiquitin conjugating enzyme E2 C	3.45925068751281	2.6376445875303844e-45	1.0227466888149061e-41	44.57878372435947
890	CCNA2	cyclin A2	3.64084735444603	3.9092527556663555e-44	1.2126502048077035e-40	43.40790624902479
2305	FOXM1	forkhead box M1	2.9818712416966795	7.731838162461245e-44	1.998680164996232e-40	43.11171724490288
3429	IFI27	interferon alpha inducible protein 27	8.550506750838599	1.0359158045427832e-43	2.1914415657063247e-40	42.98467554102746
22974	TPX2	TPX2 microtubule nucleation factor	3.062140267801749	1.1303373646454284e-43	2.1914415657063247e-40	42.94679191604142
9212	AURKB	aurora kinase B	3.108790120979148	1.573862086411696e-42	2.7122889955828235e-39	41.80303332644616
991	CDC20	cell division cycle 20	3.547421347657454	8.827389492864529e-42	1.3691281103432886e-38	41.05416771051814
55355	HJURP	Holliday junction recognition protein	3.1283766101184445	1.5322519175232474e-40	2.160475203707779e-37	39.814669826481484
9088	PKMYT1	protein kinase, membrane associated tyrosine/threonine 1	3.108810154200935	2.0461089571822996e-39	2.6445958271581223e-36	38.68907124342781
4288	MKI67	marker of proliferation Ki-67	3.0556456425091083	4.2347125756072906e-39	5.052337849820699e-36	38.37317606138141
28467	IGHV1-24	immunoglobulin heavy variable 1-24	5.68770297323546	5.37887510277012e-39	5.959025203140327e-36	38.26930853989876
332	BIRC5	baculoviral IAP repeat containing 5	3.72383779373672	8.370058089325017e-39	8.654640064362069e-36	38.077271527934364
24137	KIF4A	kinesin family member 4A	3.4043558516809695	9.78521876016131e-39	9.485546435631372e-36	38.00942946072965
79801	SHCBP1	SHC binding and spindle associated 1	3.1003162278913727	1.2843943089031795e-38	1.171820925358136e-35	37.89130162744174
51237	MZB1	marginal zone B and B1 cell specific protein	3.546154084076947	9.247354831654704e-38	7.743878552839589e-35	37.03398247767206
51514	DTL	denticleless E3 ubiquitin protein ligase homolog	3.0529536933052928	9.48637604796597e-38	7.743878552839589e-35	37.02289966354252
259266	ASPM	assembly factor for spindle microtubules	2.865410893390832	1.2718480690664742e-37	9.863181775610507e-35	36.89556476502955
28392	IGHV4-59	immunoglobulin heavy variable 4-59	3.685441520881347	1.4962853490130794e-37	1.1051136077710886e-34	36.824985576468585
699	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	3.0137780703388537	1.449626372623115e-36	1.021986592699296e-33	35.83874391860455
29128	UHRF1	ubiquitin like with PHD and ring finger domains 1	2.7008141607451144	3.2142791890386326e-36	2.1675421835647475e-33	35.49291640355497
3009	H1-5	H1.5 linker histone, cluster member	3.1573263085380323	3.2535160852794727e-35	2.102584770111859e-32	34.487647041786786
9133	CCNB2	cyclin B2	3.3099844748453098	5.488849272592075e-34	3.405282088716123e-31	33.2605186950665
81620	CDT1	chromatin licensing and DNA replication factor 1	2.6794793793643934	6.555051115302119e-34	3.9103401076283032e-31	33.18342391739768
3500	IGHG1	immunoglobulin heavy constant gamma 1 (G1m marker)	5.138355737315439	1.4098398658994551e-33	8.098746785222426e-31	32.850830213093325
10112	KIF20A	kinesin family member 20A	3.380532870518873	4.287164303349048e-33	2.2934903948638232e-30	32.36782987205958
9700	ESPL1	extra spindle pole bodies like 1, separase	2.719038726249161	4.288279913027136e-33	2.2934903948638232e-30	32.36771687426783
3006	H1-2	H1.2 linker histone, cluster member	1.7791348199876558	1.160331984250052e-32	5.9989163585727695e-30	31.93541773637628
7153	TOP2A	DNA topoisomerase II alpha	3.059314733060484	3.065118901933619e-32	1.533548198999691e-29	31.513552673689752
55388	MCM10	minichromosome maintenance 10 replication initiation factor	3.3919081018333586	5.384416607967558e-32	2.609759424674276e-29	31.268861344857317
