gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement
ENSG00000115129	ENSG00000115129	TP53I3	9540	tumor protein p53 inducible protein 3	1.076084846775073	1.5391246711728994e-6	upregulated	1.0279236280143196	3.6975074095401514	3.786895932396559e-5	4.05346831687168e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000277836	ENSG00000277836	ENSG00000277836	NA	NA	2.857556203632353	1.570823439558481e-6	upregulated	3.8274777018288813	0.1230162085178891	2.6738134019477015e-6	5.4352353688347115e-5	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000183484	ENSG00000183484	GPR132	29933	G protein-coupled receptor 132	-1.04564759077349	1.6477182615904794e-6	downregulated	-1.0718530869203589	5.704258035112515	6.636626529823412e-6	1.0812403096382471e-4	downregulated	TRUE	TRUE	TRUE	FALSE	TRUE	both_downregulated
ENSG00000127533	ENSG00000127533	F2RL3	9002	F2R like thrombin or trypsin receptor 3	1.6309120691010757	1.6556036260874222e-6	upregulated	1.3339799765878488	1.1346983261908727	7.152057519224056e-4	0.003956077465162807	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000164691	ENSG00000164691	TAGAP	117289	T cell activation RhoGTPase activating protein	-1.4926442898280494	1.7245643389536437e-6	downregulated	-1.698627364632328	7.861114905477045	1.1232073788391752e-6	2.8308251774350867e-5	downregulated	TRUE	TRUE	TRUE	FALSE	TRUE	both_downregulated
ENSG00000180354	ENSG00000180354	MTURN	222166	maturin, neural progenitor differentiation regulator homolog	1.26745011161137	1.7764534298769103e-6	upregulated	1.0012994618638977	3.903880894399274	4.976075350836043e-4	0.0029937520826790937	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000110777	ENSG00000110777	POU2AF1	5450	POU class 2 homeobox associating factor 1	1.11694835011243	1.905641916156328e-6	upregulated	1.1939660860540435	4.292966373441804	3.0036403511783887e-5	0.00033612165834615303	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000106070	ENSG00000106070	GRB10	2887	growth factor receptor bound protein 10	1.4926877395319038	1.9112209182884747e-6	upregulated	1.0298499252737408	3.080674329277589	0.003755020531992013	0.014478519886921773	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000099194	ENSG00000099194	SCD	6319	stearoyl-CoA desaturase	1.0566177909652763	1.919064926353773e-6	upregulated	1.0742545735394446	3.6201208648375642	4.1691149275697256e-5	4.355076624425089e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000198753	ENSG00000198753	PLXNB3	5365	plexin B3	2.793588218572313	2.037810483138986e-6	upregulated	1.9536663945578092	0.3131186937941155	0.010418209400671409	0.03240802803939301	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000254554	ENSG00000254554	ENSG00000254554	NA	NA	1.1370215289316818	2.0805232164135026e-6	upregulated	1.2250908898912405	1.142009357126609	2.692718145063454e-5	3.103660324031326e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000196793	ENSG00000196793	ZNF239	8187	zinc finger protein 239	-1.061900805308385	2.15815042631595e-6	downregulated	-1.1745552625235942	0.2636846950247989	6.520111212907199e-6	1.0689949779301336e-4	downregulated	TRUE	TRUE	TRUE	FALSE	TRUE	both_downregulated
ENSG00000124491	ENSG00000124491	F13A1	2162	coagulation factor XIII A chain	1.37476021932825	2.175969101124547e-6	upregulated	1.2369502577708502	8.79300680200414	1.742534529211273e-4	0.0013151683964996031	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000272506	ENSG00000272506	ENSG00000272506	NA	NA	1.3464143906454282	2.1955571005592916e-6	upregulated	1.7503476212558895	-0.13348440669984024	2.43414102734324e-7	9.321858601010777e-6	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000152128	ENSG00000152128	TMEM163	81615	transmembrane protein 163	1.13716560589179	2.1955571005592916e-6	upregulated	1.2140602680912427	-0.147893018670264	5.865774716004011e-6	9.89969160448555e-5	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000182809	ENSG00000182809	CRIP2	1397	cysteine rich protein 2	-1.2701750594755783	2.2006233219284963e-6	downregulated	-1.514255594534061	4.181044214707528	2.0373344060460304e-6	4.463143592905922e-5	downregulated	TRUE	TRUE	TRUE	FALSE	TRUE	both_downregulated
ENSG00000167476	ENSG00000167476	JSRP1	126306	junctional sarcoplasmic reticulum protein 1	1.5971324603527388	2.4426606437649275e-6	upregulated	1.4149473694270154	-0.22174317587976763	3.062454515636689e-4	0.0020376949608547855	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000281344	ENSG00000281344	ENSG00000281344	NA	NA	1.660427704722596	2.454135715466707e-6	upregulated	1.9211382571282725	0.6350074965791501	3.4239891636749797e-6	6.638258991074867e-5	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000105246	ENSG00000105246	EBI3	10148	Epstein-Barr virus induced 3	1.173588895235475	2.462718268499051e-6	upregulated	1.261414896277733	0.36971716023069306	6.154745298531158e-6	1.0253501566081445e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000137571	ENSG00000137571	SLCO5A1	81796	solute carrier organic anion transporter family member 5A1	1.2991848781451174	2.4832845088503895e-6	upregulated	1.446617998205265	-0.3742147021822197	1.1446339252078751e-5	1.6347396114156667e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000211893	ENSG00000211893	IGHG2	3501	immunoglobulin heavy constant gamma 2 (G2m marker)	1.9932879242095496	2.504554931573316e-6	upregulated	2.506060695573856	7.468913635971035	1.4182200283057972e-5	1.9227790768376675e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000095303	ENSG00000095303	PTGS1	5742	prostaglandin-endoperoxide synthase 1	1.3333837882614443	2.646495509007047e-6	upregulated	1.008601377298211	6.8094604122446345	7.339259453863005e-4	0.004018069683353873	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000238000	ENSG00000238000	PSME2P1	257093	proteasome activator subunit 2 pseudogene 1	1.1619210395811748	2.882355633358157e-6	upregulated	1.3574569564957524	1.1710069024640724	6.4534552977160716e-6	1.0614325733571184e-4	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated
ENSG00000268758	ENSG00000268758	ENSG00000268758	NA	NA	-1.28042997621784	2.9795564817713834e-6	downregulated	-1.6476389295314888	0.9525695995780195	3.052734224449223e-5	3.4014301595695006e-4	downregulated	TRUE	TRUE	TRUE	FALSE	TRUE	both_downregulated
