ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-2559583	Cellular Senescence	28/409	155/7708	8.029799986468709e-9	1.593185315497087e-7	1.2448110983807953e-7	UBE2C/CCNA2/H1-5/H1-2/E2F2/H1-3/E2F1/CDKN2C/H2BC4/H1-4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CCNE2/CDKN2A/MAPK10/CCNE1/ID1	28
R-HSA-68867	Assembly of the pre-replicative complex	23/409	109/7708	8.486406493744509e-9	1.6463628597864346e-07	1.2863605632623257e-7	UBE2C/CDT1/CDC6/MCM2/ORC1/H2BC4/H2BC7/MCM4/H2BC21/H2BC12/H2BC11/MCM6/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/ORC6/H2BC9/H2BC5/GMNN	23
R-HSA-5625740	RHO GTPases activate PKNs	16/409	56/7708	1.7331717431182898e-8	3.289258547265798e-7	2.5700121042120183e-7	H2BC4/H2BC7/MYL9/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/PPP1R14A	16
R-HSA-427389	ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression	14/409	43/7708	2.1437533233706766e-8	3.981907768728937e-7	3.111203031453972e-7	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-76002	Platelet activation, signaling and aggregation	32/409	205/7708	2.7407918349693062e-8	4.984815149850426e-7	3.8948094496932243e-7	CLU/GAS6/EGF/SPARC/ITGA2B/MANF/SELP/MPIG6B/PPBP/CD63/PF4/GP9/MPL/MMRN1/GP6/ITGB3/GNG11/GP1BA/ECM1/PROS1/CLEC1B/FN1/CD109/LY6G6F/F2RL3/F13A1/SYTL4/VWF/MGLL/ADRA2A/PDGFA/SERPING1	32
R-HSA-1912408	Pre-NOTCH Transcription and Translation	16/409	58/7708	3.016043903930411e-8	5.373482302308672e-7	4.1984886138494237e-7	E2F1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/NOTCH3	16
R-HSA-5693538	Homology Directed Repair	23/409	118/7708	4.1393931962399603e-8	7.227380520634971e-7	5.647003770870514e-7	CCNA2/CLSPN/RAD51/POLQ/EXO1/H2BC4/H2BC7/FEN1/CHEK1/POLE2/H2BC21/H2BC12/H2BC11/RAD51AP1/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5/RMI2/EME1/XRCC2	23
R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)	18/409	76/7708	5.564238446650361e-8	9.524666988089735e-7	7.441953588089647e-7	UBE2C/CCNA2/CDKN2C/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CDKN2A	18
R-HSA-9821993	Replacement of protamines by nucleosomes in the male pronucleus	10/409	22/7708	5.777672443973719e-8	9.699823160748187e-7	7.578809197763096e-7	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/H4C9/H2BC9/H2BC5	10
R-HSA-69206	G1/S Transition	24/409	130/7708	6.267289526619205e-8	1.0323290107053898e-6	8.065945607247756e-7	TK1/RRM2/CCNA2/CDT1/MCM10/CDC45/CDC6/TYMS/CDC25A/CCNB1/MCM2/CDK1/ORC1/E2F1/DHFR/MCM4/POLE2/MCM6/FBXO5/ORC6/CABLES1/CCNE2/GMNN/CCNE1	24
R-HSA-1221632	Meiotic synapsis	14/409	47/7708	7.683916969399307e-8	1.2422332433862213e-6	9.706000382399126e-7	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/BRCA1/H2AC8/H4C9/H2BC9/H2BC5	14
R-HSA-140877	Formation of Fibrin Clot (Clotting Cascade)	10/409	23/7708	9.742173704535737e-8	1.5463486625563088e-6	1.2082159924476856e-6	PF4/TFPI/GP9/PF4V1/GP1BA/PROS1/F13A1/VWF/F3/SERPING1	10
R-HSA-2467813	Separation of Sister Chromatids	28/409	175/7708	1.2240147909864308e-7	1.9081516295199177e-6	1.4909052341338483e-6	PLK1/UBE2C/AURKB/CDC20/BIRC5/BUB1/ESPL1/ZWINT/CENPA/CDCA5/BUB1B/KIF2C/SPC24/SKA1/NUF2/CENPF/CDCA8/KNL1/CENPE/NDC80/CENPU/SGO1/PTTG1/MAD2L1/CENPM/TUBA1C/TUBB1/CENPI	28
