ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
R-HSA-73894	DNA Repair	32/409	298/7708	9.991881091051888e-5	8.076770548600277e-4	6.310661741716982e-4	CCNA2/DTL/CLSPN/RAD51/POLQ/PCLAF/EXO1/H2BC4/UBE2T/H2BC7/NEIL3/FEN1/CHEK1/POLE2/H2BC21/H2BC12/H2BC11/H2AJ/RAD51AP1/H2BC8/H4C8/H2AC6/BRCA1/H2AC8/H4C9/FANCI/H2BC9/H2BC5/RMI2/EME1/XRCC2/ISG15	32
R-HSA-3214847	HATs acetylate histones	16/409	105/7708	1.181525782220164e-4	9.463045943836726e-4	7.393806923019472e-4	H2BC4/H2AC12/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/H3C10/H2AC6/H2AC11/H2AC8/H4C9/H2BC9/H2BC5/H2AC16	16
R-HSA-6803157	Antimicrobial peptides	7/409	23/7708	1.3137233186608427e-4	0.001042618597446287	8.146341727198337e-4	CLU/LCN2/S100A8/S100A9/ELANE/RNASE3/CAMP	7
R-HSA-211000	Gene Silencing by RNA	15/409	96/7708	1.4401027870091597e-4	0.0011129484622464435	8.695853421784476e-4	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/ANG	15
R-HSA-2514853	Condensation of Prometaphase Chromosomes	5/409	11/7708	1.4533347616963867e-4	0.0011129484622464435	8.695853421784476e-4	CCNB2/NCAPG/NCAPH/CCNB1/CDK1	5
R-HSA-9651496	Defects of contact activation system (CAS) and kallikrein/kinin system (KKS)	5/409	11/7708	1.4533347616963867e-4	0.0011129484622464435	8.695853421784476e-4	GP9/GP1BA/VWF/TPST1/SERPING1	5
R-HSA-9671793	Diseases of hemostasis	5/409	11/7708	1.4533347616963867e-4	0.0011129484622464435	8.695853421784476e-4	GP9/GP1BA/VWF/TPST1/SERPING1	5
R-HSA-69239	Synthesis of DNA	17/409	118/7708	1.483267958108668e-4	0.0011259938499381455	8.797781573038143e-4	UBE2C/CCNA2/CDT1/GINS2/CDC45/CDC6/MCM2/ORC1/MCM4/FEN1/POLE2/MCM6/ORC6/GINS1/CCNE2/GMNN/CCNE1	17
R-HSA-8878171	Transcriptional regulation by RUNX1	23/409	189/7708	1.5523945141820696e-4	0.001168310699035299	9.128417832939939e-4	H2BC4/H2BC7/MYL9/H2BC21/H2BC12/H2BC11/ITGA2B/H2AJ/TP73/H2BC8/H4C8/GATA1/H3C10/H2AC6/PF4/H2AC8/H4C9/H2BC9/H2BC5/GP1BA/CLDN5/GATA2/TAL1	23
R-HSA-5693565	Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks	11/409	57/7708	1.6546211268975955e-4	0.001234601917762052	9.646374181103392e-4	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5	11
R-HSA-977606	Regulation of Complement cascade	7/409	24/7708	1.7708993099005074e-4	0.0013101653369009688	0.0010236777455981524	C1QC/C1QB/CLU/PROS1/C1QA/ELANE/SERPING1	7
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	11/409	58/7708	1.9463851261147176e-4	0.0014159951792484572	0.0011063662822125763	GAS6/FAM20A/LGALS1/LAMC1/LTBP1/FSTL1/FN1/FAM20C/FBN1/SDC2/IGFBP2	11
R-HSA-5693606	DNA Double Strand Break Response	11/409	58/7708	1.9463851261147176e-4	0.0014159951792484572	0.0011063662822125763	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H4C8/BRCA1/H4C9/H2BC9/H2BC5	11
R-HSA-166658	Complement cascade	7/409	27/7708	3.9563345117401476e-4	0.0028544463047513627	0.002230278176257169	C1QC/C1QB/CLU/PROS1/C1QA/ELANE/SERPING1	7
R-HSA-8939211	ESR-mediated signaling	20/409	165/7708	4.356709102687831e-4	0.003117546759546292	0.0024358477122879336	H2BC4/CAV1/H2BC7/H2BC21/EGF/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/CAV2/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/GNG11/SPHK1/CTSD	20
R-HSA-3000170	Syndecan interactions	6/409	20/7708	4.411645157662613e-4	0.0031311920509263912	0.002446509253029845	SDC1/ITGB5/ITGB3/FN1/ITGA2/SDC2	6
R-HSA-9018519	Estrogen-dependent gene expression	15/409	107/7708	4.8630313489951235e-4	0.0033751574036513855	0.0026371278682897426	H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CTSD	15
R-HSA-174143	APC/C-mediated degradation of cell cycle proteins	13/409	85/7708	4.901643759291108e-4	0.0033751574036513855	0.0026371278682897426	PLK1/UBE2C/CCNA2/AURKB/CDC20/BUB1B/CCNB1/NEK2/CDK1/PTTG1/MAD2L1/AURKA/FBXO5	13
R-HSA-453276	Regulation of mitotic cell cycle	13/409	85/7708	4.901643759291108e-4	0.0033751574036513855	0.0026371278682897426	PLK1/UBE2C/CCNA2/AURKB/CDC20/BUB1B/CCNB1/NEK2/CDK1/PTTG1/MAD2L1/AURKA/FBXO5	13
R-HSA-6791312	TP53 Regulates Transcription of Cell Cycle Genes	9/409	45/7708	4.910022797980824e-4	0.0033751574036513855	0.0026371278682897426	CCNA2/CCNB1/CDK1/E2F1/E2F7/E2F8/AURKA/CCNE2/CCNE1	9
R-HSA-8957275	Post-translational protein phosphorylation	10/409	55/7708	5.398697960651511e-4	0.003682080718475601	0.0028769377290313977	GAS6/FAM20A/LGALS1/LAMC1/LTBP1/FSTL1/FN1/FAM20C/FBN1/SDC2	10
R-HSA-140837	Intrinsic Pathway of Fibrin Clot Formation	5/409	14/7708	5.514124128408953e-4	0.003731651445039547	0.002915669061778051	GP9/GP1BA/PROS1/VWF/SERPING1	5
R-HSA-2129379	Molecules associated with elastic fibres	6/409	21/7708	5.902892208686166e-4	0.003964019152448479	0.003097226033383511	ITGB5/ITGB3/LTBP1/FN1/FBN1/ITGB8	6
R-HSA-397014	Muscle contraction	15/409	111/7708	7.220395874926351e-4	0.004811759999092141	0.00375959544150444	MYL9/MYL6B/SCN1B/TNNT1/ITGA1/ITGB5/MYLK/TMOD1/CALD1/SLC8A3/RYR2/TNNC2/DYSF/PDE5A/GUCY1B1	15
R-HSA-3214858	RMTs methylate histone arginines	9/409	48/7708	8.068916536188057e-4	0.00533648798188801	0.004169583664633063	H2AC12/H2AJ/H4C8/H3C10/H2AC6/H2AC11/H2AC8/H4C9/H2AC16	9
R-HSA-3000171	Non-integrin membrane-ECM interactions	8/409	39/7708	8.436414309229453e-4	0.0055375862345543704	0.004326708723688711	SDC1/ITGB5/ITGB3/LAMC1/FN1/ITGA2/PDGFA/SDC2	8
R-HSA-9006931	Signaling by Nuclear Receptors	23/409	214/7708	9.350095974793953e-4	0.006087586082976022	0.004756442734392552	H2BC4/FABP5/CAV1/H2BC7/H2BC21/EGF/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/CAV2/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/GNG11/CETP/SCD/SPHK1/CTSD	23
R-HSA-157118	Signaling by NOTCH	21/409	188/7708	9.41379291181859e-4	0.006087586082976022	0.004756442734392552	DLGAP5/E2F1/H2BC4/H2BC7/H2BC21/EGF/H2BC12/H2BC11/H2AJ/H2BC8/MDK/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/PTCRA/PBX1/NOTCH3	21
R-HSA-2173782	Binding and Uptake of Ligands by Scavenger Receptors	6/409	23/7708	0.0010031831240935776	0.006439550495100686	0.005031444770995653	JCHAIN/SPARC/HBA2/HBB/HBA1/CD163	6
R-HSA-5693568	Resolution of D-loop Structures through Holliday Junction Intermediates	7/409	32/7708	0.001191474423875628	0.007537370811908865	0.00588920996698251	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/EME1/XRCC2	7
R-HSA-69190	DNA strand elongation	7/409	32/7708	0.001191474423875628	0.007537370811908865	0.00588920996698251	GINS2/CDC45/MCM2/MCM4/FEN1/MCM6/GINS1	7
R-HSA-9709603	Impaired BRCA2 binding to PALB2	6/409	24/7708	0.0012785475217947575	0.008030014291559879	0.006274129451897032	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/XRCC2	6
R-HSA-5693537	Resolution of D-Loop Structures	7/409	33/7708	0.0014444436417812147	0.00900713785196429	0.007037590074242309	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/EME1/XRCC2	7
R-HSA-9701192	Defective homologous recombination repair (HRR) due to BRCA1 loss of function	6/409	25/7708	0.0016081337865684073	0.00974931108107097	0.007617475831113509	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/XRCC2	6
R-HSA-9701193	Defective homologous recombination repair (HRR) due to PALB2 loss of function	6/409	25/7708	0.0016081337865684073	0.00974931108107097	0.007617475831113509	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/XRCC2	6
R-HSA-9704331	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function	6/409	25/7708	0.0016081337865684073	0.00974931108107097	0.007617475831113509	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/XRCC2	6
R-HSA-9704646	Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function	6/409	25/7708	0.0016081337865684073	0.00974931108107097	0.007617475831113509	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/XRCC2	6
R-HSA-140875	Common Pathway of Fibrin Clot Formation	4/409	11/7708	0.0019128075126015687	0.011437540811651846	0.008936548436667748	PF4/PF4V1/PROS1/F13A1	4
R-HSA-372708	p130Cas linkage to MAPK signaling for integrins	4/409	11/7708	0.0019128075126015687	0.011437540811651846	0.008936548436667748	ITGA2B/ITGB3/FN1/VWF	4
R-HSA-453274	Mitotic G2-G2/M phases	20/409	186/7708	0.001967784825478077	0.011686232330900416	0.009130859770209769	PLK1/CCNA2/FOXM1/TPX2/PKMYT1/CCNB2/MYBL2/GTSE1/HMMR/CDC25A/CCNB1/CENPF/NEK2/CDK1/E2F1/PLK4/AURKA/PRKAR2B/TUBA1C/TUBB1	20
R-HSA-1566948	Elastic fibre formation	6/409	26/7708	0.001998506689007596	0.01178848878042994	0.009210756290732022	ITGB5/ITGB3/LTBP1/FN1/FBN1/ITGB8	6
R-HSA-69052	Switching of origins to a post-replicative state	12/409	89/7708	0.002450467133325771	0.014201978287400975	0.011096499584295936	UBE2C/CCNA2/CDT1/CDC6/MCM2/ORC1/MCM4/MCM6/ORC6/CCNE2/GMNN/CCNE1	12
R-HSA-5689901	Metalloprotease DUBs	6/409	27/7708	0.0024564704712457587	0.014201978287400975	0.011096499584295936	H2AC12/H2AC6/H2AC11/BRCA1/H2AC8/H2AC16	6
R-HSA-5693554	Resolution of D-loop Structures through Synthesis-Dependent Strand Annealing (SDSA)	6/409	27/7708	0.0024564704712457587	0.014201978287400975	0.011096499584295936	RAD51/EXO1/RAD51AP1/BRCA1/RMI2/XRCC2	6
R-HSA-354194	GRB2:SOS provides linkage to MAPK signaling for Integrins	4/409	12/7708	0.0027500441420456228	0.015794661421090976	0.012340918310564844	ITGA2B/ITGB3/FN1/VWF	4
R-HSA-6811434	COPI-dependent Golgi-to-ER retrograde traffic	11/409	79/7708	0.0028382575447353266	0.01619476363760745	0.012653532087984122	KIF4A/KIF20A/KIF2C/KIFC1/KIF11/KIF15/KIF18B/CENPE/KIF23/TUBA1C/TUBB1	11
R-HSA-140342	Apoptosis induced DNA fragmentation	4/409	13/7708	0.0038076138345744756	0.021584719984308554	0.016864892445688725	H1-5/H1-2/H1-3/H1-4	4
R-HSA-69275	G2/M Transition	19/409	184/7708	0.003982553348233386	0.0224307682129532	0.01752593935249735	PLK1/CCNA2/FOXM1/TPX2/PKMYT1/CCNB2/MYBL2/GTSE1/HMMR/CDC25A/CCNB1/CENPF/NEK2/CDK1/PLK4/AURKA/PRKAR2B/TUBA1C/TUBB1	19
R-HSA-5689880	Ub-specific processing proteases	18/409	171/7708	0.00408384690832133	0.022853835583105903	0.017856496603186382	CCNA2/CDC20/CLSPN/CDC25A/H2BC4/H2AC12/H2BC7/H2BC21/H2BC12/H2BC11/H2BC8/H2AC6/H2AC11/H2AC8/H2BC9/H2BC5/H2AC16/USP18	18
R-HSA-113510	E2F mediated regulation of DNA replication	5/409	22/7708	0.005102532794132721	0.028234888696537248	0.022060900555080653	CCNB1/CDK1/ORC1/E2F1/ORC6	5
R-HSA-162658	Golgi Cisternae Pericentriolar Stack Reorganization	4/409	14/7708	0.0051100944032679094	0.028234888696537248	0.022060900555080653	PLK1/CCNB2/CCNB1/CDK1	4
R-HSA-176814	Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins	10/409	74/7708	0.005405768899414099	0.02968073112697175	0.023190587532739733	PLK1/UBE2C/CCNA2/CDC20/BUB1B/CCNB1/NEK2/CDK1/PTTG1/MAD2L1	10
R-HSA-2132295	MHC class II antigen presentation	12/409	99/7708	0.0059250026113131585	0.03232829549797742	0.0252592216587561	KIF4A/KIF20A/KIF2C/KIF11/KIF15/CENPE/KIF23/CTSA/TUBA1C/DNM1/TUBB1/CTSD	12
R-HSA-201681	TCF dependent signaling in response to WNT	17/409	164/7708	0.006050045698038035	0.032805527294330464	0.025632099459487724	H2BC4/CAV1/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/KREMEN1/FZD5	17
R-HSA-500792	GPCR ligand binding	18/409	179/7708	0.006581361302652951	0.03531664451796737	0.027594122683599034	TSHR/XK/PPBP/PF4/GNG11/WNT11/OXTR/ADM/F2RL3/CXCL5/CCR1/FFAR2/ADRA2A/SUCNR1/NTSR1/FZD5/CCR3/CRHBP	18
R-HSA-212165	Epigenetic regulation of gene expression	16/409	152/7708	0.006594058483881652	0.03531664451796737	0.027594122683599034	UHRF1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/SAP30	16
R-HSA-2559584	Formation of Senescence-Associated Heterochromatin Foci (SAHF)	4/409	15/7708	0.006680538103351689	0.035561644903817226	0.027785550006238096	H1-5/H1-2/H1-3/H1-4	4
R-HSA-5693579	Homologous DNA Pairing and Strand Exchange	7/409	43/7708	0.006901992334078638	0.036517813985761524	0.028532638165760498	RAD51/EXO1/CHEK1/RAD51AP1/BRCA1/RMI2/XRCC2	7
R-HSA-5685942	HDR through Homologous Recombination (HRR)	9/409	66/7708	0.007674716718921553	0.040361612624207927	0.03153593173025471	RAD51/EXO1/CHEK1/POLE2/RAD51AP1/BRCA1/RMI2/EME1/XRCC2	9
R-HSA-1362300	Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1	4/409	16/7708	0.008540247203541877	0.04464452580055125	0.034882320755721	CCNA2/MYBL2/CDK1/E2F1	4
R-HSA-179409	APC-Cdc20 mediated degradation of Nek2A	5/409	25/7708	0.009031982819836349	0.0469340535816496	0.03667120844144082	UBE2C/CDC20/BUB1B/NEK2/MAD2L1	5
