source	direction	pathway_id	pathway	adjusted_pvalue	gene_ratio	gene_count	leading_genes
GO Biological Process	upregulated	GO:0000280	nuclear division	1.0088802280520611e-14	61/635	61	PLK1/UBE2C/TPX2/AURKB/CDC20/PKMYT1/MKI67/BIRC5/KIF4A/ASPM/BUB1/CCNB2/CDT1/ESPL1/TOP2A/MYBL2/ZWINT/CDCA2/CDCA5/DLGAP5/NCAPG/BUB1B/KIF2C/KIFC1/RAD54L/TRIP13/NCAPH/ANLN/SPC24/RAD51/KIF11/CCNB1/NUF2/KIF14/CENPF/CDCA8/NEK2/TTK/CDK1/KNL1/KIF18B/CENPE/NDC80/CHEK1/KIF23/EGF/SPAG5/SGO1/PTTG1/MAD2L1/AURKA/RAD51AP1/FBXO5/CAV2/EME1/CCNE2/CCNE1/SPHK1/CENPI/GPR3/PDE3A
Reactome	upregulated	R-HSA-109582	Hemostasis	3.318428415778176e-14	70/409	70	KIF4A/KIF20A/KIF2C/KIFC1/JCHAIN/KIF11/KIF15/SDC1/KIF18B/CAV1/CENPE/CLU/GAS6/KIF23/HBD/EGF/SPARC/ITGA2B/MANF/SELP/MPIG6B/GATA1/H3C10/PPBP/CD63/PF4/TFPI/GP9/MPL/PDE2A/GRB14/ITGA1/PF4V1/MMRN1/PRKAR2B/GP6/ITGB3/ESAM/GNG11/TUBA1C/GP1BA/CABLES1/ECM1/PROS1/CLEC1B/FN1/SLC8A3/CD109/LY6G6F/EHD3/TUBB1/F2RL3/F13A1/HBB/SYTL4/GATA2/DOCK1/VWF/MGLL/ADRA2A/PDE5A/GPC1/GUCY1B1/JAM3/ITGA2/PDGFA/SDC2/F3/SERPING1/SLC7A11
KEGG	upregulated	hsa04110	Cell cycle	1.2607390033468606e-13	38/317	38	5347/890/9212/991/9088/699/9133/81620/9700/113130/701/8318/990/9319/1870/993/157570/891/4171/90381/7272/983/4998/1869/1031/57082/4173/10403/1111/151648/4175/9232/4085/26271/23594/9134/1029/898
Reactome	upregulated	R-HSA-195258	RHO GTPase Effectors	4.139370716015815e-12	48/409	48	PLK1/AURKB/CDC20/BIRC5/BUB1/ZWINT/CENPA/BUB1B/KIF2C/SPC24/SKA1/NUF2/KIF14/CENPF/DIAPH3/CDCA8/H2BC4/KNL1/CENPE/H2BC7/NDC80/MYL9/CENPU/H2BC21/H2BC12/H2BC11/SGO1/H2AJ/MAD2L1/CIT/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/S100A8/MYLK/CTTN/TUBA1C/S100A9/WASF1/TUBB1/CENPI/PPP1R14A
Reactome	upregulated	R-HSA-606279	Deposition of new CENPA-containing nucleosomes at the centromere	1.46685422504861e-11	20/409	20	HJURP/CENPA/H2BC4/KNL1/H2BC7/CENPW/CENPU/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/CENPI
Reactome	upregulated	R-HSA-774815	Nucleosome assembly	1.46685422504861e-11	20/409	20	HJURP/CENPA/H2BC4/KNL1/H2BC7/CENPW/CENPU/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/CENPM/H2BC9/H2BC5/CENPI
Reactome	upregulated	R-HSA-2559586	DNA Damage/Telomere Stress Induced Senescence	1.1545915241025921e-10	20/409	20	CCNA2/H1-5/H1-2/H1-3/H2BC4/H1-4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H2AC6/H2AC8/H4C9/H2BC9/H2BC5/CCNE2/CCNE1
Reactome	upregulated	R-HSA-2500257	Resolution of Sister Chromatid Cohesion	3.1348371173974e-10	28/409	28	PLK1/AURKB/CDC20/BIRC5/BUB1/CCNB2/ZWINT/CENPA/CDCA5/BUB1B/KIF2C/SPC24/SKA1/CCNB1/NUF2/CENPF/CDCA8/CDK1/KNL1/CENPE/NDC80/CENPU/SGO1/MAD2L1/CENPM/TUBA1C/TUBB1/CENPI
Reactome	upregulated	R-HSA-2299718	Condensation of Prophase Chromosomes	4.742431772411854e-10	17/409	17	PLK1/CCNB1/CDK1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5
Reactome	upregulated	R-HSA-5334118	DNA methylation	6.58469990621662e-10	15/409	15	UHRF1/H2BC4/H2BC7/H2BC21/H2BC12/H2BC11/H2AJ/H2BC8/H4C8/H3C10/H2AC6/H2AC8/H4C9/H2BC9/H2BC5
