gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	deseq2_log2FC	deseq2_padj	deseq2_significant	limma_logFC	limma_AveExpr	limma_pvalue	limma_padj	limma_significant	both_tested	same_logfc_direction	both_significant	both_upregulated	both_downregulated	method_agreement	deseq2_top100	limma_top100
ENSG00000137309	ENSG00000137309	HMGA1	3159	high mobility group AT-hook 1	0.9406287904226232	5.299775285144432e-16	not_significant	0.9159812446452813	6.000194632847757	6.597556842870459e-10	1.277693428628268e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000116898	ENSG00000116898	MRPS15	64960	mitochondrial ribosomal protein S15	0.5845649714766096	7.134384220881225e-16	not_significant	0.585102560057785	5.230409537970403	1.9401388297514158e-10	5.9003045587146e-8	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000184164	ENSG00000184164	CRELD2	79174	cysteine rich with EGF like domains 2	0.9673008739413512	9.933535774360638e-16	not_significant	0.9378072264777959	6.034064351254148	9.232183782054449e-10	1.573529345710599e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000168298	ENSG00000168298	H1-4	3008	H1.4 linker histone, cluster member	1.3886418328213457	1.6130482601710138e-15	upregulated	1.4402859500224023	5.200983244477364	1.576075946723234e-10	5.304493265277572e-8	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	FALSE	TRUE
ENSG00000165283	ENSG00000165283	STOML2	30968	stomatin like 2	0.4890554057015043	7.178761255228907e-15	not_significant	0.48605526534745813	6.181504569601298	9.911022549830745e-10	1.6353187207220728e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000178741	ENSG00000178741	COX5A	9377	cytochrome c oxidase subunit 5A	0.6721728360325111	8.330341314244082e-15	not_significant	0.6737844848486869	6.616797427244087	3.396223368722882e-10	8.596147573939012e-8	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000180879	ENSG00000180879	SSR4	6748	signal sequence receptor subunit 4	0.6472275243093236	8.58127058976528e-15	not_significant	0.6335579352647116	7.306924620561975	8.16948992151047e-10	1.423694254860982e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000110063	ENSG00000110063	DCPS	28960	decapping enzyme, scavenger	0.6940725283734342	1.2814322585874763e-14	not_significant	0.6916285415846577	5.0793653846640385	7.813634777602059e-10	1.409179946518697e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000116288	ENSG00000116288	PARK7	11315	Parkinsonism associated deglycase	0.5621312463817488	1.6694197960526695e-14	not_significant	0.5684608355079934	7.553791485980432	5.056340616391496e-10	1.1045611684539734e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000111775	ENSG00000111775	COX6A1	1337	cytochrome c oxidase subunit 6A1	0.6028469897716443	2.099613514491812e-14	not_significant	0.6059143552076547	6.004844778180578	4.0644182222958545e-10	9.672330586089201e-8	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000157450	ENSG00000157450	RNF111	54778	ring finger protein 111	-0.63960061499901	4.0187618184878007e-14	not_significant	-0.6654408970991472	5.915261855160563	3.4362420991890315e-10	8.596147573939012e-8	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000106799	ENSG00000106799	TGFBR1	7046	transforming growth factor beta receptor 1	-0.992610139192709	1.0480114941726033e-13	not_significant	-1.04334090564707	5.849984436805119	6.212018021203463e-10	1.235235891139304e-7	downregulated	TRUE	TRUE	FALSE	FALSE	FALSE	limma_voom_only	FALSE	TRUE
ENSG00000136810	ENSG00000136810	TXN	7295	thioredoxin	0.86486541006103	1.0625444508183645e-13	not_significant	0.8652167007594169	6.167803705121485	9.734112671427376e-10	1.6245075142138404e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000124721	ENSG00000124721	DNAH8	1769	dynein axonemal heavy chain 8	1.728919959856417	4.3728150376522234e-13	upregulated	1.8045832153965193	-0.3294483900454794	5.945200310750567e-10	1.2132902213123853e-7	upregulated	TRUE	TRUE	TRUE	TRUE	FALSE	both_upregulated	FALSE	TRUE
ENSG00000167395	ENSG00000167395	ZNF646	9726	zinc finger protein 646	-0.896826856321714	5.54006495174862e-13	not_significant	-0.9481782855627658	4.5414884250395895	1.1699218303551768e-9	1.8706688235885351e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000176390	ENSG00000176390	CRLF3	51379	cytokine receptor like factor 3	-0.6706132371963569	8.402328330489983e-13	not_significant	-0.7131915680395124	6.665804296519976	1.2226695582416843e-9	1.9171181884501128e-7	not_significant	TRUE	TRUE	FALSE	FALSE	FALSE	not_significant_in_both	FALSE	TRUE
ENSG00000157445	ENSG00000157445	CACNA2D3	55799	calcium voltage-gated channel auxiliary subunit alpha2delta 3	-1.8623178567293175	2.4394569910548017e-11	downregulated	-2.2395158009268465	2.297473400624187	3.047592892740201e-11	2.544740928077765e-8	downregulated	TRUE	TRUE	TRUE	FALSE	TRUE	both_downregulated	FALSE	TRUE
