gene_id	ensembl_gene_id	gene_symbol	entrez_id	gene_name	baseMean	log2FoldChange	lfcSE	pvalue	padj	significant
ENSG00000138614	ENSG00000138614	INTS14	81556	integrator complex subunit 14	629.9887678910018	-0.10330189855797352	0.05591447351972984	0.06146692255021763	0.1251610829399863	not_significant
ENSG00000167065	ENSG00000167065	DUSP18	150290	dual specificity phosphatase 18	242.99485735678977	0.1898390986356994	0.10712491690508964	0.06146550645294276	0.1251610829399863	not_significant
ENSG00000151320	ENSG00000151320	AKAP6	9472	A-kinase anchoring protein 6	47.132727234225754	-0.3679441530293198	0.264668999387896	0.06152486328075855	0.12526261872992453	not_significant
ENSG00000286581	ENSG00000286581	ENSG00000286581	NA	NA	62.047294289420265	0.3968172665067818	0.3118872920348054	0.06154152188210951	0.12528008982694822	not_significant
ENSG00000136147	ENSG00000136147	PHF11	51131	PHD finger protein 11	840.316307989594	0.25634642332288077	0.1531295922667504	0.06155102270329877	0.12528298715592703	not_significant
ENSG00000163832	ENSG00000163832	ELP6	54859	elongator acetyltransferase complex subunit 6	353.4263753452977	0.1228035950129833	0.0670054376892457	0.06163012647230821	0.12542753727666978	not_significant
ENSG00000259088	ENSG00000259088	ENSG00000259088	NA	NA	23.72341500956577	-0.2154455734082987	0.12396608977453429	0.06165829403028407	0.12545194023477713	not_significant
ENSG00000160216	ENSG00000160216	AGPAT3	56894	1-acylglycerol-3-phosphate O-acyltransferase 3	1588.217835628277	0.16395221999645698	0.0911400256269901	0.06165559066191866	0.12545194023477713	not_significant
ENSG00000163492	ENSG00000163492	CCDC141	285025	coiled-coil domain containing 141	425.27027210278146	-0.31990521209301925	0.2073751750622737	0.06170198120750749	0.12550292486611228	not_significant
ENSG00000120318	ENSG00000120318	ARAP3	64411	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	202.9227533278931	-0.2984663930931729	0.18874147447070108	0.06169476696028507	0.12550292486611228	not_significant
ENSG00000180694	ENSG00000180694	TMEM64	169200	transmembrane protein 64	417.1850042313648	-0.2010477407057759	0.11454388066823389	0.06170762766144245	0.12550292486611228	not_significant
ENSG00000077463	ENSG00000077463	SIRT6	51548	sirtuin 6	75.88463231267416	0.19673176189097105	0.11178209038531456	0.06174191191980945	0.12555618904893726	not_significant
ENSG00000090612	ENSG00000090612	ZNF268	10795	zinc finger protein 268	293.54020698958334	-0.18484702154104865	0.10413570018851694	0.06176050653223557	0.12557753753473697	not_significant
ENSG00000120129	ENSG00000120129	DUSP1	1843	dual specificity phosphatase 1	80690.41928605305	-0.22303525957183823	0.12946867695497088	0.06177197311086972	0.1255843889041276	not_significant
ENSG00000163463	ENSG00000163463	KRTCAP2	200185	keratinocyte associated protein 2	40.2624226818611	0.22049913429722623	0.12732051341848807	0.06188486119582698	0.12575968052928427	not_significant
ENSG00000130779	ENSG00000130779	CLIP1	6249	CAP-Gly domain containing linker protein 1	1898.5978495472173	0.11793392917019424	0.06401426906604485	0.06187202362376157	0.12575968052928427	not_significant
ENSG00000141448	ENSG00000141448	GATA6	2627	GATA binding protein 6	11.073049854418215	-0.4086657074659555	0.34493087926729543	0.06190391571415715	0.12575968052928427	not_significant
ENSG00000179935	ENSG00000179935	LINC00652	29075	long intergenic non-protein coding RNA 652	13.873636260889128	0.30768048815596744	0.19651547464751296	0.06187557803246908	0.12575968052928427	not_significant
ENSG00000179134	ENSG00000179134	SAMD4B	55095	sterile alpha motif domain containing 4B	753.5185009548958	-0.16864439604605308	0.09425778006964704	0.06190663800115612	0.12575968052928427	not_significant
ENSG00000104983	ENSG00000104983	CCDC61	729440	coiled-coil domain containing 61	162.55370182682242	-0.15700555679180972	0.08711563706180869	0.06190684467060511	0.12575968052928427	not_significant
ENSG00000130939	ENSG00000130939	UBE4B	10277	ubiquitination factor E4B	461.38516740348354	-0.14768630876878253	0.08161982195073728	0.06192411617420657	0.12577829254347092	not_significant
ENSG00000104177	ENSG00000104177	MYEF2	50804	myelin expression factor 2	50.038423332244214	-0.2974049085721372	0.18786228825326423	0.06193565070319571	0.12578524844920327	not_significant
ENSG00000146143	ENSG00000146143	PRIM2	5558	DNA primase subunit 2	86.15309570921714	0.19770913568527856	0.11223522179105316	0.06194381937671053	0.12578536770526058	not_significant
ENSG00000264278	ENSG00000264278	ZNF236-DT	100131655	ZNF236 divergent transcript	29.30085576037471	0.23811140371234815	0.13999341499611273	0.06198411791263956	0.1258507224538604	not_significant
ENSG00000104450	ENSG00000104450	SPAG1	6674	sperm associated antigen 1	105.01697006291072	0.20486019397552083	0.1171416907651811	0.06199707221558584	0.1258605484376618	not_significant
ENSG00000197283	ENSG00000197283	SYNGAP1	8831	synaptic Ras GTPase activating protein 1	56.01425600865479	-0.2621244547598104	0.15834243380389418	0.06203448550428071	0.12592001965336916	not_significant
