sample_id	group	PC1	PC2
S061_257	control	-18.949122767256082	3.160435818255451
S062_258	control	-25.063951479918995	7.23948723942651
S063_259	control	-23.81901738226901	8.250534082202494
S064_260	control	-20.608647201939824	6.388936628218282
S065_261	control	-6.965726488290836	10.400797688113888
S066_265	control	-22.475596977458725	10.171929525509917
S067_270	control	-9.867944290372112	9.754117174628293
S068_272	control	-22.352185433271185	11.826613067771437
S069_273	control	-22.905973555573738	13.258177801108909
S070_279	control	-29.39583577510716	6.41858198797004
S071_280	control	-21.427882238984765	1.8321724066067593
S181_255	control	-19.697433033206377	-17.61806812439655
S182_SHXA10	control	-17.385390606027368	-18.189251403225654
S183_263	control	-25.554116643224113	-14.709335133479419
S184_SHXA18	control	-16.38561172101001	-16.131525964532806
S185_266	control	-20.32463059522476	-18.80004706315523
S186_SHXA14	control	-14.225601871516833	-15.315137668797165
S145_nCOV001_C	disease	-22.348584496851572	7.4117721877929155
S147_nCoV001EUHM-Draw-1	disease	3.010741317602219	11.579193525707144
S149_nCoV002EUHM-Draw-2	disease	9.846844130068204	-3.2085610937120377
S150_nCoV003EUHM-Draw-1	disease	24.730127547452994	-2.6929361751031826
S151_nCoV004EUHM-Draw-1	disease	28.244987077385574	-6.221260148478203
S152_nCoV006EUHM-Draw-1	disease	15.442070829929683	-3.2620245695746153
S153_nCoV007EUHM-Draw-1	disease	22.334965082336744	4.639154421292287
S154_nCoV0010EUHM-Draw-1	disease	21.216051979395424	13.094644027224694
S155_nCOV021EUHM	disease	34.881983820203715	-6.104489328556794
S156_nCOV024EUHM-Draw-1	disease	29.054584566664197	10.451063919469517
S157_nCOV0029EUHM	disease	34.68720763550654	0.7111081185544693
S175_nCoV024EUHM-Draw-2	disease	31.590065263537003	5.221702135045116
S176_nCoV025EUHM-Draw-1	disease	26.8291444894655	0.3620122156800825
S177_nCoV025EUHM-Draw-2	disease	26.32129749834487	1.7920044783552878
S178_nCoV028EUHM-Draw-1	disease	17.510658937663937	5.429109484144676
S179_nCoV033EUHM-Draw-1	disease	14.997035585827902	-4.416053462522295
S180_nCoV034EUHM-Draw-1	disease	19.055486796118863	-22.724857797544274
