gene_id	S061_257	S062_258	S063_259	S064_260	S065_261	S066_265	S067_270	S068_272	S069_273	S070_279	S071_280	S181_255	S182_SHXA10	S183_263	S184_SHXA18	S185_266	S186_SHXA14	S145_nCOV001_C	S147_nCoV001EUHM-Draw-1	S149_nCoV002EUHM-Draw-2	S150_nCoV003EUHM-Draw-1	S151_nCoV004EUHM-Draw-1	S152_nCoV006EUHM-Draw-1	S153_nCoV007EUHM-Draw-1	S154_nCoV0010EUHM-Draw-1	S155_nCOV021EUHM	S156_nCOV024EUHM-Draw-1	S157_nCOV0029EUHM	S175_nCoV024EUHM-Draw-2	S176_nCoV025EUHM-Draw-1	S177_nCoV025EUHM-Draw-2	S178_nCoV028EUHM-Draw-1	S179_nCoV033EUHM-Draw-1	S180_nCoV034EUHM-Draw-1
ENSG00000268903	4.990513568284808	5.35174518820994	5.232892456113544	4.64423278717205	4.849371037290447	4.967746445218012	5.308186688733976	4.822328548206566	4.930921500828937	4.730663851053197	5.209501624761781	5.006457255494161	5.118024210931276	4.7655604422363	4.726856900512533	4.89412696319504	5.232903985855282	5.46155992892902	5.124600987490434	4.764883719337797	4.911449455498208	6.121780541512361	5.183440679997785	5.075826187193622	5.400667805382131	5.9108765568579	5.580303252837838	4.928663422708512	5.302759687494961	5.126756212983703	5.223164512359769	5.084367797591803	4.9911062350369395	5.206052592907306
ENSG00000279457	6.274942437631592	6.371322364498106	6.22499343637444	6.222072347074397	5.661720173473222	5.773098849634181	6.176666312396702	5.91409759786948	5.855201701290225	6.156097616274849	6.052987802315066	5.7013182198762635	5.359983856826724	5.797282828727058	6.384496199628023	5.97198529019483	4.875591712054183	5.820297131387404	6.224822936795266	5.510070423950988	5.242102239127712	5.8446820319299295	5.342875650466139	6.284038637659945	5.892390265743288	6.241346362385249	5.618234949515903	5.342894496581199	5.8355032205682695	6.307291466574347	6.353177855282479	5.452095603907828	5.601919822116481	5.484539580084294
ENSG00000225630	7.603432850297502	7.608798673338025	7.727031473703445	7.736631562186567	4.793844751038164	7.805758481675114	7.424415086522205	7.374840017815528	10.306562060327064	4.280857782023164	10.635160466982219	7.81701370771442	7.476551113402864	7.736870106570629	7.6705532276987896	7.680983978898129	7.853306287076242	7.909036426478004	8.185220577065653	7.48173558071708	7.8529781482094565	7.539942435429346	7.574456500329693	7.618078439383029	7.60877467372842	7.9665541800412765	7.372453225271929	7.921920081898882	7.755978346363549	8.031959727884331	7.861090098932833	7.76136279276438	7.897406267413281	7.460423079507191
ENSG00000237973	5.618216085108203	5.715524826134596	6.129006624537193	5.8776656457083405	5.588006579687823	6.120913670241344	5.732320816738108	5.759343535952492	5.699366192033518	6.0394887247859534	6.011737309430668	6.222793002068693	5.9007918358506535	5.949565187730919	6.08153158332179	5.71234977694226	8.981323876553818	6.247398664316237	6.136063477652534	6.472120579140901	5.7713499155575585	8.514793501535147	10.11565930670085	5.456472746101577	8.724595747075655	10.856088754264063	5.854665597659403	10.152900974197143	6.178305144941115	6.72905003886168	6.878699816651398	5.971501524656376	5.939683804079355	9.876263115524972
ENSG00000248527	11.041818828299252	10.90507851588223	10.781233237931126	10.681151924796866	4.668250101062921	10.757207332229434	10.565730541176409	10.679500384481377	10.827000036304252	10.854154472753835	11.02616275762305	10.887467974168109	10.743309284653451	10.792597952830299	10.86986537108335	10.712029793836377	11.356966799231595	10.921569801569381	11.58891536895461	11.17422285274631	11.198542653833279	11.104785692652516	10.779754697301042	10.752253869938727	10.69126225129872	11.383706111034424	10.441288545092013	10.891831534698055	11.346742622095553	11.429000514433394	11.441788563761133	11.053394946025188	10.864049571651352	10.586161781679591
ENSG00000228327	5.8108791601812175	6.323593626163345	6.206348077443526	6.239753613890314	5.937674711987675	6.281960119063243	5.942031599000097	6.029940098164423	5.9936836734140995	5.852060209071436	5.947259258259441	5.527400659135412	5.557183074254721	5.725814760049661	5.6847647858915025	5.71234977694226	5.735715709478135	6.363537052572583	6.065303458557092	5.885097031305415	5.582013281488573	5.33787072464452	5.851152375780829	6.108877880995749	5.671783575971925	5.589816980512037	5.999579427891061	5.898968872431526	5.4106818812461714	5.789551083510807	5.634372781346624	5.775410914051595	5.748404676403666	5.89533210595691
ENSG00000237491	5.387541830355829	5.4541654888795295	5.708197528122969	5.363411194131543	5.918492311517317	5.553887253168738	5.598081094417575	5.731551288532847	5.75354625287861	5.746657988252622	5.434580147773932	5.600085745285934	5.359983856826724	5.568717971003117	5.370771390604691	5.653107121005955	5.353332526637999	5.101624831150854	5.565876098397054	5.418156720188506	5.55231061203758	5.532455109656746	5.060978716959201	5.544373334547786	5.958005711550009	5.589816980512037	5.458404635796558	5.379943015029785	5.5550464550252086	5.789551083510807	5.26770643225699	5.798787515220367	5.748404676403666	5.399455594778512
ENSG00000177757	5.0435747551039265	5.064557913490899	4.809996896837117	5.0247071284482105	5.0818886281393265	5.019726596803397	4.9583529256877386	4.749527327759796	4.987217653839549	4.991971553626646	5.075105925701925	4.794924942549168	4.867389296924623	5.12675195387552	5.127145998721236	5.380436060175737	4.992814616662026	5.382410171719257	4.942758997010738	4.938586566410493	4.96669507290082	5.283256015867387	5.342875650466139	5.774222427071409	4.961289181660397	5.078635739073452	5.219461016193955	5.264687565475617	5.4608884131460735	4.647777345188365	4.324458684575286	4.622063916896474	5.058809845311053	5.835810176604448
ENSG00000228794	8.184084393577796	8.259116731062866	8.190113566742067	8.163273870016237	8.315720722934858	7.995946702706971	8.181766415651431	8.110015037714772	8.317991055440842	7.974343740881698	8.006091001258755	8.5814844378833115	8.490295090072905	8.495284110602787	8.565564775968742	8.239691017113472	8.428453598586342	7.86533514181361	7.950115656989643	8.084705333462374	7.819868185732229	7.810027498914127	8.025929807255007	7.834292559050597	7.579677125781613	7.569640640341997	7.787256788095848	7.838597734943504	7.568353464113755	7.709302450116682	7.659578072245314	7.755850338697797	8.033676995740535	8.446057329872298
ENSG00000225880	5.8108791601812175	5.973165061702105	5.621692079157448	5.854195858942205	5.536150334333634	5.721939974338221	5.706650121347158	5.703107342576871	5.5830429658740774	5.8721055520365555	5.531806124908949	6.038919870065539	6.078505943592131	5.907909527616662	5.815100856244851	5.380436060175737	6.14879160673087	5.762567201934236	5.565876098397054	6.590600158735305	5.978391106870103	5.659271049554148	5.7857507334144245	6.081828871209927	5.8231561728175345	6.33527126160081	5.885011395596926	5.579484154369626	6.257974446581997	6.1138679427698115	5.8879633704233685	5.866376160523878	6.298728720412691	6.108890088383201
